context,протяженный,точечный,1D,2D,3D,нет увенч.,увенч.,1D жесткий,1D мягкий,top_sum,apex_sum,crown_sum,peak_sum,pinnacle_sum,vertex_sum,summit_sum,tip_sum,top,apex,crown,peak,pinnacle,vertex,summit,tip,top_of_the,apex_of_the,crown_of_the,peak_of_the,pinnacle_of_the,vertex_of_the,summit_of_the,tip_of_the
wall,1,0,1,0,0,0,0,1,0,327,0,1,0,0,0,2,1,21,0,0,0,0,0,1,0,306,0,1,0,0,0,1,1
gorge,1,0,1,0,0,0,0,1,0,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
ridge,1,0,1,0,0,0,0,1,0,269,4,1,4,0,0,13,0,39,1,0,0,0,0,2,0,230,3,1,4,0,0,11,0
wave,1,0,1,0,0,0,0,0,1,13,0,0,12,0,0,0,9,2,0,0,7,0,0,0,9,11,0,0,5,0,0,0,0
waterfall,1,0,1,0,0,0,0,0,1,27,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,3,0
building,1,0,0,1,0,0,0,0,0,280,0,3,0,1,0,10,15,5,0,2,0,0,0,10,15,275,0,1,0,1,0,0,0
skull,1,0,0,1,0,0,0,0,0,37,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,37,0,1,0,0,0,0,0
head,1,0,0,0,1,0,0,0,0,393,0,71,0,0,0,4,2,9,0,5,0,0,0,3,1,384,0,66,0,0,0,1,1
house,1,0,0,0,1,0,0,0,0,265,2,72,5,2,0,3,3,14,0,72,2,1,0,3,3,251,2,0,3,1,0,0,0
arch,1,0,0,0,1,0,0,0,0,44,14,17,2,0,0,2,0,4,1,3,0,0,0,0,0,40,13,14,2,0,0,2,0
volcano,1,0,0,0,1,0,0,0,0,21,0,0,2,0,0,18,1,1,0,0,0,0,0,5,0,20,0,0,2,0,0,13,1
hill,1,0,0,0,1,0,0,0,0,1264,2,15,5,1,0,197,3,264,0,1,1,0,0,25,0,1000,2,14,4,1,0,172,3
mountain,0,1,0,0,0,1,0,0,0,852,1,2,175,3,0,156,3,316,1,0,165,0,0,66,0,536,0,2,10,3,0,90,3
mound,0,1,0,0,0,1,0,0,0,115,1,0,0,0,0,19,0,0,0,0,0,0,0,3,0,115,1,0,0,0,0,16,0
cliff,0,1,0,0,0,1,0,0,0,962,0,0,0,0,0,7,4,778,0,0,0,0,0,0,0,184,0,0,0,0,0,7,4
rock,0,1,0,0,0,1,0,0,0,108,1,5,13,44,0,21,4,3,0,4,13,43,0,6,2,105,1,1,0,1,0,15,2
helmet,0,1,0,0,0,1,0,0,0,28,1,6,3,0,0,0,1,0,0,3,0,0,0,0,1,28,1,3,3,0,0,0,0
peak,0,1,0,0,0,1,0,0,0,11,0,0,13,0,0,10,3,0,0,0,11,0,0,5,1,11,0,0,2,0,0,5,2
slope,0,1,0,0,0,1,0,0,0,175,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,175,0,0,0,0,0,1,0
tree,0,1,0,0,0,1,0,0,0,404,4,47,0,0,1,1,2,67,1,28,0,0,0,0,1,337,3,19,0,0,1,1,1
tower,0,1,0,0,0,1,0,0,0,473,3,2,2,4,0,13,1,15,0,1,1,0,0,4,0,458,3,1,1,4,0,9,1
pyramid,0,1,0,0,0,1,0,0,0,88,17,2,8,2,0,3,6,1,0,0,2,0,0,0,0,87,17,2,6,2,0,3,6
iceberg,0,1,0,0,0,1,0,0,0,8,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1000
mast,0,1,0,0,0,1,0,0,0,87,0,0,0,0,0,0,3,4,0,0,0,0,0,0,1,83,0,0,0,0,0,0,2
pole,0,1,0,0,0,1,0,0,0,53,0,0,0,0,0,0,42,1,0,0,0,0,0,0,39,52,0,0,0,0,0,0,3
stem,0,1,0,0,0,1,0,0,0,38,6,0,0,0,0,1,10,0,5,0,0,0,0,0,6,38,1,0,0,0,0,1,4
shaft,0,1,0,0,0,0,1,0,0,115,0,0,0,0,0,0,15,24,0,0,0,0,0,0,6,91,0,0,0,0,0,0,9
temple,0,1,0,0,0,0,1,0,0,13,0,1,0,38,0,1,1,2,0,1,0,0,0,0,0,11,0,0,0,38,0,1,1
church,0,1,0,0,0,0,1,0,0,62,1,2,0,3,0,5,0,6,0,0,0,0,0,3,0,56,1,2,0,3,0,2,0
belltower,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cathedral,0,1,0,0,0,0,1,0,0,16,0,1,37,0,0,0,0,1,0,1,37,0,0,0,0,15,0,0,0,0,0,0,0
asparagus,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0
