context;протяженный;точечный;1D;2D;3D;нет увенч.;увенч.;1D жесткий;1D мягкий;top_norm;apex_norm;crown_norm;peak_norm;pinnacle_norm;vertex_norm;summit_norm;tip_norm;top_sum;apex_sum;crown_sum;peak_sum;pinnacle_sum;vertex_sum;summit_sum;tip_sum
wall;1;0;1;0;0;0;0;1;0;0,000359;0;0,00001341;0;0;0;0,00004237;0,00002065;327;0;1;0;0;0;2;1
gorge;1;0;1;0;0;0;0;1;0;0,00003733;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0
ridge;1;0;1;0;0;0;0;1;0;0,00029532;0,0007162;0,00001341;0,00006485;0;0;0,00027539;0;269;4;1;4;0;0;13;0
wave;1;0;1;0;0;0;0;0;1;0,00001427;0;0;0,00019456;0;0;0;0,00018588;13;0;0;12;0;0;0;9
waterfall;1;0;1;0;0;0;0;0;1;0,00002964;0;0;0;0;0;0,00006355;0;27;0;0;0;0;0;3;0
building;1;0;0;1;0;0;0;0;0;0,0003074;0;0,00004022;0;0,0000011;0;0,00021184;0,0003098;280;0;3;0;1;0;10;15
skull;1;0;0;1;0;0;0;0;0;0,00004062;0,00017905;0,00001341;0;0;0;0;0;37;1;1;0;0;0;0;0
head;1;0;0;0;1;0;0;0;0;0,00043145;0;0,00095183;0;0;0;0,00008473;0,00004131;393;0;71;0;0;0;4;2
house;1;0;0;0;1;0;0;0;0;0,00029093;0,0003581;0,00096524;0,00008106;0,0000022;0;0,00006355;0,00006196;265;2;72;5;2;0;3;3
arch;1;0;0;0;1;0;0;0;0;0,00004831;0,00250671;0,0002279;0,00003243;0;0;0,00004237;0;44;14;17;2;0;0;2;0
volcano;1;0;0;0;1;0;0;0;0;0,00002305;0;0;0,00003243;0;0;0,00038131;0,00002065;21;0;0;2;0;0;18;1
hill;1;0;0;0;1;0;0;0;0;0,00138768;0,0003581;0,00020109;0,00008106;0,0000011;0;0,0041732;0,00006196;1264;2;15;5;1;0;197;3
mountain;0;1;0;0;0;1;0;0;0;0,00093537;0,00017905;0,00002681;0,00283727;0,00000329;0;0,00330466;0,00006196;852;1;2;175;3;0;156;3
mound;0;1;0;0;0;1;0;0;0;0,00012625;0,00017905;0;0;0;0;0,00040249;0;115;1;0;0;0;0;19;0
cliff;0;1;0;0;0;1;0;0;0;0,00105613;0;0;0;0;0;0,00014829;0,00008261;962;0;0;0;0;0;7;4
rock;0;1;0;0;0;1;0;0;0;0,00011857;0,00017905;0,00006703;0,00021077;0,00004831;0;0,00044486;0,00008261;108;1;5;13;44;0;21;4
helmet;0;1;0;0;0;1;0;0;0;0,00003074;0,00017905;0,00008044;0,00004864;0;0;0;0,00002065;28;1;6;3;0;0;0;1
peak;0;1;0;0;0;1;0;0;0;0,00001208;0;0;0,00021077;0;0;0,00021184;0,00006196;11;0;0;13;0;0;10;3
slope;0;1;0;0;0;1;0;0;0;0,00019212;0;0;0;0;0;0,00004237;0;175;0;0;0;0;0;2;0
tree;0;1;0;0;0;1;0;0;0;0,00044353;0,0007162;0,00063009;0;0;0,00040502;0,00002118;0,00004131;404;4;47;0;0;1;1;2
tower;0;1;0;0;0;1;0;0;0;0,00051928;0,00053715;0,00002681;0,00003243;0,00000439;0;0,00027539;0,00002065;473;3;2;2;4;0;13;1
pyramid;0;1;0;0;0;1;0;0;0;0,00009661;0,00304387;0,00002681;0,0001297;0,0000022;0;0,00006355;0,00012392;88;17;2;8;2;0;3;6
iceberg;0;1;0;0;0;1;0;0;0;0,00000878;0;0;0;0;0;0;0,02065305;8;0;0;0;0;0;0;1000
mast;0;1;0;0;0;1;0;0;0;0,00009551;0;0;0;0;0;0;0,00006196;87;0;0;0;0;0;0;3
pole;0;1;0;0;0;1;0;0;0;0,00005819;0;0;0;0;0;0;0,00086743;53;0;0;0;0;0;0;42
stem;0;1;0;0;0;1;0;0;0;0,00004172;0,00107431;0;0;0;0;0,00002118;0,00020653;38;6;0;0;0;0;1;10
shaft;0;1;0;0;0;0;1;0;0;0,00012625;0;0;0;0;0;0;0,0003098;115;0;0;0;0;0;0;15
temple;0;1;0;0;0;0;1;0;0;0,00001427;0;0,00001341;0;0,00004172;0;0,00002118;0,00002065;13;0;1;0;38;0;1;1
church;0;1;0;0;0;0;1;0;0;0,00006807;0,00017905;0,00002681;0;0,00000329;0;0,00010592;0;62;1;2;0;3;0;5;0
belltower;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cathedral;0;1;0;0;0;0;1;0;0;0,00001757;0;0,00001341;0,00059988;0;0;0;0;16;0;1;37;0;0;0;0
asparagus;0;1;0;0;0;0;1;0;0;0,00000659;0;0;0;0;0;0;0,00008261;6;0;0;0;0;0;0;4
